# RECONSTRUCTED: 15/9-F-11 A definitive survey to 2585 m MD sidetrack point; below, a smooth path through the official Volve formation-pick coordinates (MD/TVD/E/N) of 15/9-F-11 B
MD,INC,AZI,TVD,NS,EW
2926.76,62.974,78.573,2660.07,102.63,-79.60
2931.73,63.098,78.779,2662.33,103.50,-75.24
2936.70,63.211,79.002,2664.58,104.36,-70.88
2941.68,63.313,79.241,2666.82,105.20,-66.51
2946.65,63.406,79.496,2669.06,106.02,-62.13
2951.62,63.488,79.767,2671.28,106.82,-57.75
2956.59,63.561,80.054,2673.50,107.61,-53.36
2961.56,63.624,80.358,2675.72,108.36,-48.97
2966.53,63.676,80.679,2677.92,109.10,-44.58
2971.51,63.720,81.016,2680.13,109.81,-40.18
2976.48,63.753,81.370,2682.32,110.49,-35.77
2981.45,63.777,81.741,2684.52,111.14,-31.37
2986.42,63.792,82.129,2686.71,111.77,-26.96
2991.39,63.798,82.534,2688.90,112.36,-22.55
2996.37,63.794,82.956,2691.09,112.92,-18.13
3001.34,63.782,83.396,2693.28,113.45,-13.72
3006.31,63.761,83.854,2695.47,113.95,-9.31
3011.28,63.731,84.329,2697.66,114.40,-4.89
3016.25,63.692,84.823,2699.85,114.82,-0.48
3021.22,63.646,85.335,2702.04,115.20,3.94
3026.20,63.591,85.865,2704.24,115.54,8.35
3031.17,63.528,86.413,2706.44,115.84,12.77
3036.14,63.457,86.980,2708.64,116.09,17.18
3041.11,63.379,87.566,2710.85,116.30,21.59
3046.08,63.294,88.170,2713.06,116.47,25.99
3051.06,63.201,88.794,2715.28,116.59,30.40
3056.03,63.102,89.436,2717.51,116.65,34.80
3061.00,62.996,90.098,2719.75,116.67,39.19
3065.97,62.884,90.779,2721.99,116.64,43.58
3070.94,62.766,91.480,2724.24,116.55,47.97
3075.91,62.642,92.199,2726.51,116.41,52.36
3080.89,62.514,92.938,2728.78,116.21,56.73
3085.86,62.380,93.696,2731.06,115.96,61.10
3090.83,62.241,94.474,2733.36,115.65,65.47
3095.74,62.237,95.186,2735.63,115.29,69.76
3100.65,62.239,95.885,2737.89,114.87,74.05
3105.56,62.247,96.570,2740.16,114.41,78.32
3110.46,62.262,97.242,2742.42,113.89,82.59
3115.37,62.282,97.900,2744.68,113.32,86.86
3120.28,62.308,98.544,2746.94,112.71,91.12
3125.19,62.340,99.173,2749.20,112.04,95.37
3130.10,62.377,99.788,2751.46,111.33,99.62
3135.01,62.419,100.388,2753.71,110.58,103.87
3139.91,62.465,100.974,2755.96,109.78,108.10
3144.82,62.517,101.546,2758.21,108.94,112.34
3149.73,62.573,102.102,2760.45,108.05,116.56
3154.64,62.634,102.644,2762.69,107.12,120.78
3159.55,62.699,103.171,2764.93,106.16,125.00
3164.46,62.767,103.683,2767.16,105.15,129.21
3169.37,62.840,104.181,2769.39,104.11,133.42
3174.27,62.916,104.663,2771.61,103.03,137.63
3179.18,62.996,105.131,2773.83,101.91,141.83
3184.09,63.079,105.585,2776.04,100.76,146.02
3189.00,63.166,106.023,2778.25,99.57,150.21
3193.91,63.256,106.447,2780.46,98.35,154.40
3198.82,63.348,106.856,2782.65,97.10,158.59
3203.73,63.444,107.251,2784.84,95.82,162.77
3208.63,63.542,107.631,2787.03,94.50,166.95
3213.54,63.643,107.997,2789.20,93.16,171.12
3218.45,63.746,108.349,2791.37,91.79,175.29
3223.36,63.852,108.686,2793.54,90.40,179.46
3228.27,63.960,109.009,2795.69,88.97,183.62
3233.18,64.071,109.319,2797.84,87.53,187.79
3238.08,64.183,109.614,2799.98,86.06,191.95
3242.99,64.298,109.895,2802.11,84.56,196.11
3247.90,64.415,110.162,2804.24,83.05,200.26
3252.81,64.534,110.416,2806.35,81.51,204.42
3257.72,64.655,110.655,2808.46,79.96,208.57
3262.63,64.777,110.882,2810.55,78.38,212.72
3267.54,64.902,111.094,2812.64,76.79,216.87
3272.44,65.028,111.293,2814.72,75.18,221.01
3277.35,65.156,111.479,2816.78,73.56,225.16
3282.26,65.286,111.651,2818.84,71.92,229.30
3287.17,65.418,111.810,2820.89,70.27,233.44
3292.08,65.551,111.956,2822.92,68.61,237.59
3296.99,65.686,112.089,2824.95,66.93,241.73
3301.90,65.823,112.208,2826.96,65.25,245.87
3306.80,65.961,112.315,2828.96,63.55,250.01
3311.71,66.101,112.408,2830.95,61.85,254.15
3316.62,66.243,112.488,2832.93,60.14,258.29
3321.53,66.386,112.556,2834.90,58.42,262.43
3326.44,66.531,112.610,2836.85,56.70,266.57
3331.35,66.678,112.652,2838.79,54.97,270.71
3336.25,66.827,112.681,2840.72,53.25,274.85
3341.16,66.977,112.696,2842.63,51.51,278.99
3346.07,67.130,112.699,2844.53,49.78,283.13
3350.98,67.284,112.690,2846.42,48.05,287.27
3355.92,68.624,114.625,2848.27,46.21,291.46
3360.85,69.750,116.253,2850.02,44.23,295.62
3365.79,70.650,117.585,2851.69,42.12,299.77
3370.72,71.318,118.633,2853.30,39.92,303.89
3375.66,71.750,119.407,2854.87,37.64,307.99
3380.59,71.944,119.913,2856.41,35.31,312.08
